PID	Status	Label
-	0	com.apple.SafariHistoryServiceAgent
706	0	com.apple.progressd
798	0	com.apple.cloudphotod
467	0	com.apple.Finder
565	0	com.apple.homed
789	0	com.apple.dataaccess.dataaccessd
-	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
625	0	com.apple.mediaremoteagent
519	0	com.apple.FontWorker
753	-9	org.pqrs.karabiner.NotificationWindow
497	0	com.apple.bird
-	0	com.apple.amp.mediasharingd
97521	0	com.apple.knowledgeconstructiond
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
-	0	com.apple.GameController.gamecontrolleragentd
1892	0	com.apple.universalaccessAuthWarn
-	0	com.apple.UserPictureSyncAgent
481	0	com.apple.nsurlsessiond
98667	-9	com.apple.devicecheckd
-	0	com.apple.syncservices.uihandler
508	0	com.apple.iconservices.iconservicesagent
-	-9	com.apple.diagnosticextensionsd
82613	-9	com.apple.intelligenceplatformd
957	0	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.cmio.LaunchCMIOUserExtensionsAgent
92365	0	com.apple.LinkedNotesUIService
-	-9	com.apple.ndoagent
489	0	com.apple.wallpaper.agent
-	0	com.apple.bookassetd
-	0	com.apple.ManagedClientAgent.agent
82865	-9	com.apple.localizationswitcherd
-	0	com.apple.screensharing.agent
665	0	com.apple.commerce
-	0	com.apple.AddressBook.SourceSync
-	0	com.apple.installerauthagent
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
596	0	com.apple.ManagedSettingsAgent
774	0	com.apple.photolibraryd
-	0	com.apple.coordinated
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
987	0	com.apple.tipsd
12676	0	com.apple.stickersd
598	0	com.apple.bluetoothuserd
-	0	com.apple.timezoneupdates.tznotify
620	0	com.apple.TextInputMenuAgent
-	0	com.apple.bluetoothUIServer
-	0	com.apple.accessibility.LiveTranscriptionAgent
826	0	com.apple.assistant_service
-	0	com.apple.MRTa
477	0	com.apple.CommCenter
51900	0	com.apple.trustd.agent
-	0	com.apple.MailServiceAgent
-	0	com.apple.mdworker.mail
-	0	com.apple.appkit.xpc.ColorSampler
452	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.coreimportd
1077	0	com.apple.CoreDevice.remotepairingd
80977	-9	com.apple.TrustedPeersHelper
-	0	com.apple.cvmsCompAgent3600_arm64_1
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
86314	0	com.apple.AutoFillPanel
2238	0	com.apple.peopled
830	0	com.apple.keyboardservicesd
603	0	com.apple.accessibility.axassetsd
701	0	com.apple.quicklook.ThumbnailsAgent
1072	0	com.apple.Safari.PasswordBreachAgent
-	0	com.apple.csuseragent
-	0	com.apple.asktod
461	0	com.apple.WindowManager.agent
485	0	com.apple.ContextStoreAgent
-	0	com.apple.AOSPushRelay
639	0	application.com.dmitrynikolaev.numi.19642517.19642522
-	0	com.apple.accessibility.AXVisualSupportAgent
-	0	com.apple.xpc.loginitemregisterd
1065	0	com.apple.webprivacyd
23746	0	com.apple.applespell
-	0	com.apple.coreservices.UASharedPasteboardProgressUI
-	0	com.apple.screensharing.menuextra
-	0	com.apple.warmd_agent
12574	0	application.com.adguard.safari.AdGuard.49625538.49625824
807	0	com.apple.voicebankingd
-	0	com.apple.universalaccesscontrol
1097	0	com.apple.Safari.SafeBrowsing.Service
-	0	com.apple.notes.exchangenotesd
-	0	com.apple.findmymacmessenger
-	0	com.apple.FilesystemUI
-	0	com.apple.maps.destinationd
520	0	com.apple.ScreenTimeAgent
-	0	com.apple.pluginkit.pkreporter
-	0	com.apple.systemprofiler
-	-9	com.apple.homeenergyd
525	0	com.apple.cloudd
40493	0	com.apple.noticeboard.agent
60768	0	com.apple.UserNotificationCenterAgent
-	-9	com.apple.cmfsyncagent
-	0	com.apple.dt.CommandLineTools.installondemand
-	0	com.apple.ATS.FontValidator
619	0	com.apple.diagnostics_agent
-	0	com.apple.appleseed.seedusaged
1915	0	com.apple.LocalAuthentication.UIAgent
825	0	com.apple.ap.adprivacyd
714	0	com.apple.ap.promotedcontentd
-	-9	com.apple.apfsuseragent
518	0	com.apple.networkserviceproxy
464	0	com.apple.controlcenter
40544	0	com.apple.AMPLibraryAgent
-	0	com.openssh.ssh-agent
-	0	com.apple.atsd
-	-9	com.apple.tonelibraryd
-	0	com.apple.WeatherService
772	0	com.apple.CloudPhotosConfiguration
-	0	com.apple.security.KeychainStasher
-	0	com.apple.CoreSimulator.SimLaunchHost-x86
535	0	com.apple.ctkd
-	0	com.apple.package-script-service
476	0	com.apple.secinitd
-	0	com.apple.speech.speechsynthesisd.x86_64
79426	0	com.apple.contacts.donation-agent
-	0	com.apple.ServicesUIAgent
875	0	com.apple.synapse.contentlinkingd
82769	-9	com.apple.XprotectFramework.PluginService
-	0	com.apple.ctkbind
-	0	com.apple.mediastream.mstreamd
60844	0	com.apple.alf.useragent
-	0	com.apple.SiriTTSTrainingAgent
593	0	com.apple.triald
-	1	com.koekeishiya.skhd
95604	0	application.com.sindresorhus.Pure-Paste.45818017.45818023
35696	0	application.com.apple.Safari.543380.543851
507	0	com.apple.tccd
-	0	com.apple.nexusd
574	0	com.apple.StatusKitAgent
86808	-9	com.apple.betaenrollmentd
527	0	com.apple.replayd
459	0	com.apple.coreservices.uiagent
786	0	com.apple.icloud.searchpartyuseragent
85822	0	com.apple.AccessibilityVisualsAgent
611	0	com.apple.Siri.agent
-	0	com.apple.installd.user
-	0	com.apple.textunderstandingd
551	0	com.apple.akd
641	0	com.apple.CallHistoryPluginHelper
-	0	com.apple.GamePolicyAgent
-	0	com.apple.mbproximityhelper
12041	0	com.apple.storeaccountd
16516	0	application.com.googlecode.iterm2.35804348.35804354
-	0	com.apple.AddressBook.AssistantService
-	0	com.apple.PIPAgent
533	0	com.apple.cmio.ContinuityCaptureAgent
-	0	com.apple.mbfloagent
22998	0	com.apple.printtool.agent
63236	0	application.com.apple.mail.1152921500311886391.1152921500311886455
-	0	com.hnc.Discord.ShipIt
615	0	com.apple.askpermissiond
80351	0	com.apple.USBAgent
-	0	com.apple.previewshellmacapp
-	0	com.microsoft.VSCode.ShipIt
-	0	com.apple.ssinvitationagent
35710	0	com.apple.webinspectord
791	0	com.apple.avatarsd
-	0	com.apple.speech.synthesisserver
2189	0	com.apple.storeuid
26215	0	com.apple.rcd
-	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
521	0	com.apple.CryptoTokenKit.ahp.agent
-	0	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
14009	0	com.apple.remindd
-	0	com.apple.appsleep
-	0	com.dmitrynikolaev.numi3helper
624	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
82311	-9	com.apple.siri-distributed-evaluation
517	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
-	0	com.apple.cvmsCompAgent_x86_64
469	0	com.apple.lsd
563	0	com.apple.siri.context.service
487	0	com.apple.pluginkit.pkd
-	0	com.apple.security.XPCTimeStampingService
80262	-9	com.apple.webkit.webpushd
-	-9	com.apple.weatherd
513	0	com.apple.cache_delete
-	0	com.apple.symptomsd-diag.agent
505	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
8170	0	com.apple.CallHistorySyncHelper
982	0	com.apple.colorsync.useragent
990	0	com.apple.appleaccountd
542	0	com.apple.parsecd
82312	-9	com.apple.mlruntimed
463	0	com.apple.Dock.agent
3184	0	application.com.apple.CharacterPaletteIM.1152921500312223294.1152921500312223299
15724	0	com.apple.parsec-fbf
475	0	com.apple.dmd
526	0	com.apple.transparencyd
575	0	com.apple.AppSSOAgent
15678	0	com.apple.mbuseragent
80969	-9	com.apple.security.cloudkeychainproxy3
455	0	com.apple.UserEventAgent-Aqua
79913	-9	com.apple.followupd
514	0	com.apple.identityservicesd
511	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
-	0	org.pqrs.karabiner.agent.karabiner_grabber
82768	-9	com.apple.XProtect.agent.scan
80938	0	com.apple.storekitagent
40983	0	com.apple.security.DiskUnmountWatcher
498	0	com.apple.CoreLocationAgent
-	0	com.apple.StorageManagement.Service
728	0	com.apple.SecureBackupDaemon
-	0	com.apple.security.agent
468	0	com.apple.backgroundtaskmanagement.agent
73809	-9	com.apple.businessservicesd
-	0	com.apple.cfnetwork.AuthBrokerAgent
73851	0	application.com.withmarko.OneMenu.36028855.53398188
698	0	com.apple.storedownloadd
-	0	com.apple.SpacesTouchBarAgent.app
618	0	com.apple.BTServer.cloudpairing
82985	0	application.com.apple.Preview.1152921500311896979.1152921500311896984
502	0	com.apple.coreservices.sharedfilelistd
465	0	com.apple.pboard
-	0	com.apple.nowplayingtouchui
-	0	com.apple.MobileAccessoryUpdater.fudHelperAgent
1640	0	com.apple.reversetemplated
45550	0	application.com.apple.MobileSMS.1152921500311887775.1152921500311887842
54516	0	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
480	0	com.apple.rapportd
724	0	com.apple.SoftwareUpdateNotificationManager
-	0	com.apple.DistributionKit.DistributionHelper
-	0	com.apple.accounts.dom
548	0	com.apple.TextInputUI.xpc.CursorUIViewService
-	0	com.apple.metadata.mdflagwriter
-	-9	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
496	0	com.apple.containermanagerd
591	0	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
28247	0	com.apple.mdworker.shared.04000000-0200-0000-0000-000000000000
-	0	com.apple.Notes.datastore
82232	-9	com.apple.mlhostd
-	0	com.apple.preference.displays.MirrorDisplays
-	0	com.apple.IOUIAgent
629	0	com.apple.neagent.878568F8-CCE5-4157-8315-22F20DC8FB0A
-	0	com.apple.previewshellapp
510	0	com.apple.accountsd
564	0	com.apple.cdpd
